"Qty","Part Number (Manufacturer)","Part Number (Vendor)","Vendor","Value","Reference","Purchase Link"
"30","CL10B104KO8NNNC","1276-1005-2-ND","Digikey","100nF_16V_X7R","C603,C616,C617,C618,C619,C620,C621,C622,C801,C1001,C1101,C1201,C1301,C1302,C1303,C1401,C1402,C2301,C2302,C2401,C2402,C2501,C2502,C2601,C2602,C2702,C2704,C2706,C2708,C2710","https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL10B104KO8NNNC/3886663"
"26","CL10B105KP8NNNC","1276-1946-2-ND","Digikey","1uF_10V_X7R","C501,C604,C607,C608,C609,C610,C611,C612,C613,C614,C615,C623,C2001,C2303,C2403,C2503,C2603,C2701,C2703,C2705,C3109,C3116,C3118,C3120,C3202,C3203","https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL10B105KP8NNNC/3887604"
"2","WLCM0603TGB3N3TB","1292-WLCM0603TGB3N3TBTR-ND","Digikey","3n3H_400mA_0.3R","L3104,L3105",""
"3","AC0402BRNPO9BN3R3","13-AC0402BRNPO9BN3R3TR-ND","Digikey","3p3F_50V_C0G","C2913,C2922,C2923","https://www.digikey.ca/en/products/detail/yageo/AC0402BRNPO9BN3R3/19285216"
"1","ICM-20948","1428-1123-2-ND","Digikey","ICM-20948","U1301","https://www.digikey.ca/en/products/detail/tdk-invensense/ICM-20948/6623535"
"1","MCP6006T-E/OT","150-MCP6006T-E/OTTR-ND","Digikey","MCP6006T-E/OT","U801","https://www.digikey.ca/en/products/detail/microchip-technology/MCP6006T-E-OT/13985876"
"1","RK73H2ATTD4R70F","2019-RK73H2ATTD4R70FTR-ND","Digikey","4R7_1/4W_1%","R3301",""
"2","HPH1-B-03-UA","2057-HPH1-B-03-UA-ND","Digikey","HDR_1X3_THD-1.27MM","J701,J2801","https://www.digikey.ca/en/products/detail/adam-tech/HPH1-B-03-UA/9831285"
"1","PTS08056V050","283-PTS08056V050TR-ND","Digikey","0.5A_6V_0.15R","RV3201",""
"1","PTSLR08058V400","283-PTSLR08058V400TR-ND","Digikey","4A_8V_2mR","F2201","https://www.digikey.ca/en/products/detail/eaton-electronics-division/PTSLR08058V400/15193511"
"2","SN74LVC1G17DCKR","296-11934-2-ND","Digikey","SN74LVC1G17DCKR","U601,U2701","https://www.digikey.ca/en/products/detail/texas-instruments/SN74LVC1G17DCKR/389053"
"4","SN74LVC1G18DCKR","296-15569-2-ND","Digikey","SN74LVC1G18DCKR","U2301,U2401,U2501,U2601","https://www.digikey.ca/en/products/detail/texas-instruments/SN74LVC1G18DCKR/571179"
"4","DRV8837CDSGR","296-47205-2-ND","Digikey","DRV8837CDSGR","U2302,U2402,U2502,U2602","https://www.digikey.ca/en/products/detail/texas-instruments/DRV8837CDSGR/6193615"
"1","TLV70328DBVR","296-48983-2-ND","Digikey","TLV70328DBVR","U503","https://www.digikey.ca/en/products/detail/texas-instruments/TLV70328DBVR/7653215"
"1","TLV70313DBVR","296-49990-2-ND","Digikey","TLV70313DBVR","U502",""
"1","TPS613222ADBVR","296-50503-2-ND","Digikey","TPS613222ADBVR","U3301",""
"1","SN74LVC1G80DCKR","296-9852-2-ND","Digikey","SN74LVC1G80DCKR","U501","https://www.digikey.ca/en/products/detail/texas-instruments/SN74LVC1G80DCKR/381334"
"4","TLV74033PDBVR","296-TLV74033PDBVRTR-ND","Digikey","TLV74033PDBVR","U3401,U3501,U3601,U3701",""
"1","CF35242D0RD-NH","2987-CF35242D0RD-NHTR-ND","Digikey","FPC_24_R/A-BOTT","J2101","https://www.digikey.ca/en/products/detail/cvilux-usa/CF35242D0RD-NH/15793069"
"3","PI4IOE5V9554ZHEX","31-PI4IOE5V9554ZHEXTR-ND","Digikey","PI4IOE5V9554ZHEX","U1001,U1101,U1201","https://www.digikey.ca/en/products/detail/diodes-incorporated/PI4IOE5V9554ZHEX/16547531"
"1","RC0402JR-070RL","311-0.0JRTR-ND","Digikey","0R_1/16W","R2901","https://www.digikey.ca/en/products/detail/yageo/RC0402JR-070RL/726406?s=N4IgTCBcDaIEoGEAMAWJYBScC0SDsScAMiALoC%2BQA"
"2","CC0402JRNPO9BN680","311-1340-2-ND","Digikey","68pF_50V_C0G","C2901,C2914","https://www.digikey.ca/en/products/detail/yageo/CC0402JRNPO9BN680/2103078?s=N4IgTCBcDaIMJwAwBZFgFICUByAFA8gJwBC2AbAByIgC6AvkA"
